path,size_bytes,extension,corpus,guessed_class
packages/RheaKit/.build/arm64-apple-macosx/debug/ModuleCache/3TAJ5AL5E78IP/AppKit-2VI8NB39I5AT6.pcm,10538560,.pcm,ui_assets,other
ios/RheaPreview.swiftpm/.build/arm64-apple-macosx/debug/ModuleCache/7K9VL3N5EWXO/AppKit-2VI8NB39I5AT6.pcm,10538448,.pcm,unknown,other
ios/RheaPreview.swiftpm/.build/arm64-apple-macosx/debug/ModuleCache/VH9U2OHBKS4T/AppKit-2VI8NB39I5AT6.pcm,10538448,.pcm,unknown,other
packages/RheaKit/.build/arm64-apple-macosx/debug/ModuleCache/VWYCT01293OX/AppKit-2VI8NB39I5AT6.pcm,10538296,.pcm,ui_assets,other
rhea-dash/target/debug/deps/libepaint-bcad5faa43c5d18d.rlib,10513056,.rlib,ui_assets,other
vendor/libtailscale/swift/build/ModuleCache.noindex/UIKit-DGM8HV3IG0OZYS4TZXAQX3A0V.pcm,10407112,.pcm,app_bundles,other
vendor/libtailscale/swift/build/ModuleCache.noindex/UIKit-3JZW2TZ29XX8Y284WVDWCPSS1.pcm,10390008,.pcm,app_bundles,other
ios/RheaApp/build/DerivedData/ModuleCache.noindex/UIKit-F2WTNUKN1IXCHONQ1HVU5YWI3.pcm,10389648,.pcm,app_bundles,other
vendor/libtailscale/swift/build/ModuleCache.noindex/UIKit-5IRON1MIQA8VMPAYBFWBG7EQD.pcm,10389648,.pcm,app_bundles,other
ios/RheaApp/build/DerivedData/ModuleCache.noindex/UIKit-E65L053YGC14VG0GCCVIBEZAR.pcm,10389640,.pcm,app_bundles,other
